name,prev_position,team,xP,xA,xG,xGI,A,G,GI,bonus,bps,minutes,total_points,prev_price,GW,current_price,current_position,current_team
Miguel Almirón Rejala,MID,Newcastle,2.8,0.16,0.0,0.16,1,0,1,1,22,86,6,62,13,60.0,MID,Newcastle
Alejo Véliz,FWD,Spurs,0.3,0.0,0.0,0.0,0,0,0,0,3,4,1,54,13,50.0,FWD,Spurs
Kepa Arrizabalaga,GK,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50,13,45.0,GK,Chelsea
Mark Travers,GK,Bournemouth,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,13,45.0,GK,Bournemouth
Guglielmo Vicario,GK,Spurs,1.3,0.0,0.0,0.0,0,0,0,0,14,90,2,52,13,50.0,GK,Spurs
Isaac Hayden,MID,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,MID,Newcastle
Jamaal Lascelles,DEF,Newcastle,5.8,0.01,0.35,0.36,0,1,1,0,21,85,7,41,13,45.0,DEF,Newcastle
Andrew Robertson,DEF,Liverpool,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,64,13,60.0,DEF,Liverpool
Giovani Lo Celso,MID,Spurs,3.7,0.09,0.07,0.16,0,1,1,3,33,85,10,48,13,50.0,MID,Spurs
Jeffrey Schlupp,MID,Crystal Palace,4.8,0.02,0.1,0.12,0,0,0,0,4,79,2,49,13,50.0,MID,Crystal Palace
Alex Iwobi,MID,Fulham,4.0,0.57,0.94,1.51,0,1,1,2,30,90,9,53,13,55.0,MID,Fulham
Cody Gakpo,FWD,Liverpool,0.8,0.0,0.0,0.0,0,0,0,0,2,17,1,72,13,75.0,FWD,Liverpool
Nicolas Jackson,FWD,Chelsea,7.2,0.07,0.0,0.07,0,0,0,0,5,68,2,69,13,75.0,FWD,Chelsea
Adam Lallana,MID,Brighton,1.0,0.01,0.0,0.01,0,0,0,0,1,45,1,49,13,50.0,MID,Southampton
Hugo Bueno López,DEF,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,DEF,Wolves
Alphonse Areola,GK,West Ham,2.5,0.0,0.0,0.0,0,0,0,0,17,90,3,43,13,45.0,GK,West Ham
Alisson Ramses Becker,GK,Liverpool,4.8,0.0,0.0,0.0,0,0,0,0,16,90,3,56,13,55.0,GK,Liverpool
Pape Matar Sarr,MID,Spurs,1.7,0.0,0.0,0.0,0,0,0,0,0,0,0,46,13,50.0,MID,Spurs
Matt Doherty,DEF,Wolves,0.3,0.11,0.13,0.24,0,0,0,0,7,71,1,43,13,45.0,DEF,Wolves
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,54,13,55.0,MID,Wolves
Taiwo Awoniyi,FWD,Nott'm Forest,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,64,13,60.0,FWD,Nott'm Forest
Mads Roerslev Rasmussen,DEF,Brentford,0.2,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,DEF,Brentford
Calvin Bassey,DEF,Fulham,1.3,0.0,0.0,0.0,0,0,0,0,11,90,1,44,13,45.0,DEF,Fulham
James Ward-Prowse,MID,West Ham,5.5,0.27,0.06,0.33,0,0,0,0,11,90,2,62,13,65.0,MID,West Ham
Konstantinos Tsimikas,DEF,Liverpool,5.5,0.06,0.0,0.06,0,0,0,0,15,90,2,47,13,50.0,DEF,Liverpool
Mahmoud Dahoud,MID,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,48,13,50.0,MID,Brighton
Ian Maatsen,MID,Chelsea,-0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,51,13,50.0,DEF,Aston Villa
Ryan Gravenberch,MID,Liverpool,0.5,0.17,0.0,0.17,0,0,0,0,4,36,1,50,13,50.0,MID,Liverpool
Hannibal Mejbri,MID,Man Utd,0.8,0.0,0.0,0.0,0,0,0,0,3,6,1,44,13,45.0,MID,Man Utd
Boubacar Kamara,MID,Aston Villa,1.3,0.03,0.03,0.06,0,0,0,0,12,90,1,50,13,50.0,MID,Aston Villa
Andrey Nascimento dos Santos,MID,Nott'm Forest,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,44,13,45.0,MID,Chelsea
Bart Verbruggen,GK,Brighton,2.0,0.0,0.0,0.0,0,0,0,0,17,90,1,44,13,45.0,GK,Brighton
Bernd Leno,GK,Fulham,2.3,0.0,0.0,0.0,0,0,0,0,22,90,2,47,13,50.0,GK,Fulham
Josh Dasilva,MID,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,47,13,50.0,MID,Brentford
Josh Bowler,MID,Nott'm Forest,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,45.0,MID,Nott'm Forest
Oleksandr Zinchenko,DEF,Arsenal,7.2,0.27,0.02,0.29,0,0,0,3,32,90,9,50,13,50.0,DEF,Arsenal
Callum Wilson,FWD,Newcastle,0.3,0.0,0.0,0.0,0,0,0,0,0,0,0,79,13,70.0,FWD,Newcastle
Bruno Borges Fernandes,MID,Man Utd,7.2,0.41,0.0,0.41,1,0,1,0,28,90,6,83,13,85.0,MID,Man Utd
Hamed Traorè,MID,Bournemouth,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,47,13,45.0,MID,Bournemouth
Jeremy Sarmiento Morante,MID,Brighton,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,50.0,MID,Brighton
Jesurun Rak-Sakyi,MID,Crystal Palace,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,13,45.0,MID,Crystal Palace
Gabriel Fernando de Jesus,FWD,Arsenal,1.2,0.01,0.51,0.52,0,0,0,0,0,65,2,78,13,70.0,FWD,Arsenal
Joel Ward,DEF,Crystal Palace,4.2,0.01,0.0,0.01,1,0,1,0,22,90,4,45,13,45.0,DEF,Crystal Palace
Harvey Barnes,MID,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,62,13,65.0,MID,Newcastle
Mateo Kovačić,MID,Man City,1.1,0.0,0.0,0.0,0,0,0,0,0,0,0,48,13,55.0,MID,Man City
