name,prev_position,team,xP,xA,xG,xGI,A,G,GI,bonus,bps,minutes,total_points,prev_price,GW,current_price,current_position,current_team
Jack Hinshelwood,MID,Brighton,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,MID,Brighton
Jadon Sancho,MID,Man Utd,3.0,0.05,0.0,0.05,0,0,0,0,4,22,1,70,1,65.0,MID,Man Utd
Vitaly Janelt,MID,Brentford,2.1,0.01,0.02,0.03,0,0,0,0,6,90,2,55,1,50.0,MID,Brentford
Jack Grealish,MID,Man City,4.1,0.0,0.0,0.0,0,0,0,0,0,0,0,75,1,65.0,MID,Man City
Emil Krafth,DEF,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Newcastle
Boubacar Traoré,MID,Wolves,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,MID,Wolves
Curtis Jones,MID,Liverpool,2.1,0.01,0.0,0.01,0,0,0,0,1,24,1,50,1,55.0,MID,Liverpool
Reece James,DEF,Chelsea,2.1,0.42,0.03,0.45,0,0,0,0,15,75,2,55,1,50.0,DEF,Chelsea
Brandon Austin,GK,Spurs,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Spurs
Robin Olsen,GK,Aston Villa,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,45.0,GK,Aston Villa
Amad Diallo,MID,Man Utd,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,MID,Man Utd
Anthony Elanga,MID,Nott'm Forest,1.1,0.61,0.0,0.61,1,0,1,0,17,10,4,50,1,55.0,MID,Nott'm Forest
Harry Toffolo,DEF,Nott'm Forest,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Nott'm Forest
Bernardo Veiga de Carvalho e Silva,MID,Man City,3.8,0.03,0.0,0.03,0,0,0,0,11,90,3,65,1,65.0,MID,Man City
Ivan Toney,FWD,Brentford,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,80,1,75.0,FWD,Brentford
Alex Murphy,DEF,Newcastle,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,DEF,Newcastle
Eddie Nketiah,FWD,Arsenal,2.4,0.01,0.21,0.22,0,1,1,2,26,72,8,55,1,60.0,FWD,Arsenal
Benoît Badiashile,DEF,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Chelsea
Emile Smith Rowe,MID,Arsenal,2.6,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,55.0,MID,Fulham
Jarell Quansah,DEF,Liverpool,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,45.0,DEF,Liverpool
Ben Chilwell,DEF,Chelsea,2.1,0.23,0.11,0.34,1,0,1,2,24,89,7,55,1,50.0,DEF,Chelsea
Tim Iroegbunam,MID,Aston Villa,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Everton
Pablo Sarabia,MID,Wolves,1.1,0.3,0.06,0.36,0,0,0,0,6,62,3,50,1,55.0,MID,Wolves
Remi Matthews,GK,Crystal Palace,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Crystal Palace
Ibrahima Konaté,DEF,Liverpool,2.8,0.0,0.0,0.0,0,0,0,0,14,90,2,50,1,50.0,DEF,Liverpool
Joelinton Cássio Apolinário de Lira,MID,Newcastle,2.7,0.16,0.12,0.28,0,0,0,0,13,90,2,60,1,60.0,MID,Newcastle
Marcus Tavernier,MID,Bournemouth,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,55.0,MID,Bournemouth
Manuel Akanji,DEF,Man City,3.8,0.01,0.0,0.01,0,0,0,0,23,90,6,50,1,55.0,DEF,Man City
Matheus França de Oliveira,MID,Crystal Palace,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,45.0,MID,Crystal Palace
Lucas Tolentino Coelho de Lima,MID,West Ham,2.2,0.21,0.18,0.39,0,0,0,0,11,90,1,60,1,60.0,MID,West Ham
Rasmus Højlund,FWD,Man Utd,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,70,1,70.0,FWD,Man Utd
Rayan Aït-Nouri,DEF,Wolves,1.5,0.01,0.0,0.01,0,0,0,0,9,76,1,45,1,45.0,DEF,Wolves
Ben Davies,DEF,Spurs,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Spurs
Emerson Palmieri dos Santos,DEF,West Ham,2.0,0.25,0.0,0.25,0,0,0,0,8,90,1,45,1,45.0,DEF,West Ham
Luis Díaz,MID,Liverpool,3.1,0.04,0.83,0.87,0,1,1,1,20,76,8,75,1,75.0,MID,Liverpool
Jakub Moder,MID,Brighton,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Brighton
John Stones,DEF,Man City,4.1,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,55.0,DEF,Man City
Idrissa Gueye,MID,Everton,1.6,0.03,0.06,0.09,0,0,0,0,15,90,2,50,1,50.0,MID,Everton
Harry Wilson,MID,Fulham,2.1,0.2,0.07,0.27,0,0,0,0,13,90,3,55,1,55.0,MID,Fulham
Marcus Bettinelli,GK,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Chelsea
Malcolm Ebiowei,MID,Crystal Palace,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Crystal Palace
Benjamin White,DEF,Arsenal,3.1,0.03,0.0,0.03,0,0,0,0,8,90,1,55,1,65.0,DEF,Arsenal
Ezri Konsa Ngoyo,DEF,Aston Villa,1.5,0.01,0.0,0.01,0,0,0,0,16,90,0,45,1,45.0,DEF,Aston Villa
Thomas Partey,MID,Arsenal,2.1,0.06,0.0,0.06,0,0,0,0,18,90,2,50,1,50.0,MID,Arsenal
Jamal Lewis,DEF,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,DEF,Newcastle
Leon Bailey,MID,Aston Villa,1.6,0.01,0.0,0.01,0,0,0,0,-1,45,1,55,1,65.0,MID,Aston Villa
Luke Shaw,DEF,Man Utd,3.1,0.04,0.0,0.04,0,0,0,0,25,90,5,55,1,50.0,DEF,Man Utd
Mario Lemina,MID,Wolves,1.1,0.01,0.1,0.11,0,0,0,0,11,90,1,50,1,50.0,MID,Wolves
James Tarkowski,DEF,Everton,2.0,0.03,0.04,0.07,0,0,0,0,8,90,2,45,1,50.0,DEF,Everton
Kristoffer Ajer,DEF,Brentford,2.0,0.01,0.0,0.01,0,0,0,0,7,83,1,45,1,45.0,DEF,Brentford
Brennan Johnson,MID,Nott'm Forest,1.7,0.0,0.28,0.28,0,0,0,0,0,79,2,60,1,65.0,MID,Spurs
Jake O'Brien,DEF,Crystal Palace,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,50.0,DEF,Everton
Ryan Sessegnon,DEF,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Fulham
Justin Kluivert,MID,Bournemouth,1.6,0.01,0.0,0.01,0,0,0,0,2,30,1,50,1,55.0,MID,Bournemouth
Viljami Sinisalo,GK,Aston Villa,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Aston Villa
Pierre-Emile Højbjerg,MID,Spurs,2.1,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,50.0,MID,Spurs
Lesley Ugochukwu,MID,Chelsea,0.5,0.0,0.0,0.0,0,0,0,0,4,1,1,45,1,45.0,MID,Chelsea
Callum Hudson-Odoi,MID,Chelsea,1.1,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,55.0,MID,Nott'm Forest
Kieran Tierney,DEF,Arsenal,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Arsenal
Tim Ream,DEF,Fulham,2.0,0.0,0.0,0.0,0,0,0,1,28,90,7,45,1,45.0,DEF,Fulham
Phil Foden,MID,Man City,4.1,0.11,0.27,0.38,0,0,0,0,6,90,3,75,1,95.0,MID,Man City
Christian Eriksen,MID,Man Utd,2.7,0.01,0.0,0.01,0,0,0,0,4,22,1,60,1,55.0,MID,Man Utd
Fábio Silva,FWD,Wolves,1.4,0.01,0.33,0.34,0,0,0,0,6,13,1,55,1,50.0,FWD,Wolves
Alfie Whiteman,GK,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Spurs
Ollie Watkins,FWD,Aston Villa,2.1,0.1,0.23,0.33,1,0,1,0,18,90,5,80,1,90.0,FWD,Aston Villa
Gabriel dos Santos Magalhães,DEF,Arsenal,2.8,0.0,0.0,0.0,0,0,0,0,2,4,1,50,1,60.0,DEF,Arsenal
Harrison Reed,MID,Fulham,1.6,0.08,0.0,0.08,0,0,0,0,13,90,3,50,1,50.0,MID,Fulham
Manor Solomon,MID,Spurs,2.1,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,55.0,MID,Spurs
Christian Nørgaard,MID,Brentford,2.1,0.01,0.0,0.01,0,0,0,0,9,71,2,55,1,50.0,MID,Brentford
Sean Longstaff,MID,Newcastle,2.1,0.0,0.0,0.0,0,0,0,0,3,5,1,50,1,50.0,MID,Newcastle
Danny Ings,FWD,West Ham,2.1,0.0,0.12,0.12,0,0,0,0,1,12,1,60,1,50.0,FWD,West Ham
Dango Ouattara,MID,Bournemouth,1.6,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,MID,Bournemouth
Simon Adingra,MID,Brighton,2.1,0.01,0.25,0.26,0,1,1,0,20,16,6,50,1,55.0,MID,Brighton
Danilo dos Santos de Oliveira,MID,Nott'm Forest,1.6,0.01,0.0,0.01,0,0,0,0,8,70,2,55,1,50.0,MID,Nott'm Forest
David Raya Martin,GK,Brentford,3.2,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,55.0,GK,Arsenal
Jacob Murphy,MID,Newcastle,2.1,0.29,0.0,0.29,1,0,1,0,19,4,4,50,1,55.0,MID,Newcastle
Jean-Philippe Mateta,FWD,Crystal Palace,1.9,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,75.0,FWD,Crystal Palace
William Saliba,DEF,Arsenal,2.9,0.03,0.0,0.03,1,0,1,0,22,90,5,50,1,60.0,DEF,Arsenal
Destiny Udogie,DEF,Spurs,2.0,0.04,0.0,0.04,0,0,0,0,16,90,1,45,1,50.0,DEF,Spurs
Mark Flekken,GK,Brentford,2.4,0.0,0.0,0.0,0,0,0,0,17,90,2,45,1,45.0,GK,Brentford
James McConnell,MID,Liverpool,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Liverpool
Andreas Hoelgebaum Pereira,MID,Fulham,1.5,0.0,0.0,0.0,1,0,1,0,10,32,4,55,1,55.0,MID,Fulham
Marc Cucurella Saseta,DEF,Chelsea,1.8,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,DEF,Chelsea
Bryan Gil Salvatierra,MID,Spurs,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,MID,Spurs
Neco Williams,DEF,Nott'm Forest,1.5,0.0,0.0,0.0,0,0,0,0,4,18,1,45,1,45.0,DEF,Nott'm Forest
Billy Gilmour,MID,Brighton,2.1,0.05,0.02,0.07,0,0,0,0,4,16,1,50,1,50.0,MID,Brighton
Mikkel Damsgaard,MID,Brentford,1.6,0.01,0.07,0.08,0,0,0,0,4,41,1,50,1,50.0,MID,Brentford
Son Heung-min,MID,Spurs,3.0,0.05,0.08,0.13,0,0,0,0,5,74,2,90,1,100.0,MID,Spurs
Joe Gomez,DEF,Liverpool,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,DEF,Liverpool
Ben Johnson,DEF,West Ham,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,40.0,DEF,Ipswich
Pedro Porro,DEF,Spurs,2.3,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,55.0,DEF,Spurs
Levi Colwill,DEF,Chelsea,1.5,0.01,0.08,0.09,0,0,0,0,19,90,2,45,1,45.0,DEF,Chelsea
Jonathan Panzo,DEF,Nott'm Forest,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,DEF,Nott'm Forest
Rico Henry,DEF,Brentford,2.0,0.74,0.0,0.74,1,0,1,0,20,90,4,45,1,45.0,DEF,Brentford
Bobby Clark,MID,Liverpool,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Liverpool
Flynn Downes,MID,West Ham,1.6,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,MID,Southampton
Joe Willock,MID,Newcastle,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,50.0,MID,Newcastle
Kobbie Mainoo,MID,Man Utd,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,55.0,MID,Man Utd
Dominic Calvert-Lewin,FWD,Everton,1.6,0.0,0.0,0.0,0,0,0,0,0,0,0,60,1,60.0,FWD,Everton
Tommy Doyle,MID,Man City,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,MID,Wolves
João Pedro Junqueira de Jesus,FWD,Brighton,2.4,0.03,1.3,1.33,0,1,1,1,26,87,7,55,1,55.0,FWD,Brighton
Kurt Zouma,DEF,West Ham,2.0,0.0,0.0,0.0,0,0,0,0,10,90,2,45,1,45.0,DEF,West Ham
Omar Richards,DEF,Nott'm Forest,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Nott'm Forest
Shea Charles,MID,Man City,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Southampton
Neal Maupay,FWD,Everton,1.4,0.0,1.35,1.35,0,0,0,0,-4,71,2,50,1,50.0,FWD,Everton
Jordan Ayew,MID,Crystal Palace,2.6,0.36,0.09,0.45,1,0,1,0,14,90,6,55,1,55.0,MID,Crystal Palace
Nathaniel Phillips,DEF,Liverpool,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,DEF,Liverpool
Dominik Szoboszlai,MID,Liverpool,3.0,0.1,0.02,0.12,0,0,0,0,17,90,2,70,1,65.0,MID,Liverpool
Mason Mount,MID,Man Utd,3.0,0.02,0.0,0.02,0,0,0,0,7,67,3,70,1,65.0,MID,Man Utd
David Brooks,MID,Bournemouth,1.6,0.02,0.16,0.18,0,0,0,0,4,74,2,50,1,50.0,MID,Bournemouth
Pascal Groß,MID,Brighton,2.8,0.47,0.49,0.96,0,0,0,0,18,90,2,65,1,65.0,MID,Brighton
John McGinn,MID,Aston Villa,1.6,0.03,0.0,0.03,0,0,0,0,6,63,2,55,1,55.0,MID,Aston Villa
Yoane Wissa,FWD,Brentford,2.1,0.05,0.24,0.29,0,1,1,3,33,71,9,60,1,60.0,FWD,Brentford
Reiss Nelson,MID,Arsenal,2.1,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,MID,Arsenal
Facundo Pellistri Rebollo,MID,Man Utd,1.5,0.0,0.24,0.24,0,0,0,0,2,13,1,45,1,50.0,MID,Man Utd
James Hill,DEF,Bournemouth,1.0,0.01,0.0,0.01,0,0,0,0,1,15,1,40,1,40.0,DEF,Bournemouth
Kevin Schade,MID,Brentford,2.1,0.0,0.27,0.27,0,0,0,0,-1,18,1,55,1,55.0,MID,Brentford
Sven Botman,DEF,Newcastle,2.5,0.25,0.07,0.32,1,0,1,1,27,90,5,45,1,45.0,DEF,Newcastle
Issa Diop,DEF,Fulham,2.0,0.01,0.0,0.01,0,0,0,2,30,90,8,45,1,45.0,DEF,Fulham
Aaron Ramsdale,GK,Arsenal,3.7,0.0,0.0,0.0,0,0,0,0,10,90,2,50,1,45.0,GK,Arsenal
Tosin Adarabioyo,DEF,Fulham,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Chelsea
Trent Alexander-Arnold,DEF,Liverpool,4.5,0.02,0.0,0.02,0,0,0,0,7,90,1,80,1,70.0,DEF,Liverpool
Pervis Estupiñán,DEF,Brighton,2.9,0.86,0.11,0.97,1,0,1,3,34,90,7,50,1,50.0,DEF,Brighton
Harvey Elliott,MID,Liverpool,2.1,0.01,0.0,0.01,0,0,0,0,6,13,1,50,1,55.0,MID,Liverpool
Gabriel Martinelli Silva,MID,Arsenal,3.3,0.22,0.0,0.22,1,0,1,0,23,85,5,80,1,70.0,MID,Arsenal
Jhon Durán,FWD,Aston Villa,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,60.0,FWD,Aston Villa
Oscar Bobb,MID,Man City,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,MID,Man City
Michail Antonio,FWD,West Ham,2.1,0.01,0.0,0.01,0,0,0,0,5,77,1,60,1,55.0,FWD,West Ham
Malang Sarr,DEF,Chelsea,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Chelsea
Ângelo Gabriel Borges Damaceno,MID,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,45.0,MID,Chelsea
Micky van de Ven,DEF,Spurs,2.0,0.03,0.04,0.07,0,0,0,0,20,90,1,45,1,45.0,DEF,Spurs
Lisandro Martínez,DEF,Man Utd,2.8,0.02,0.0,0.02,0,0,0,0,7,45,0,50,1,45.0,DEF,Man Utd
Alex Mighten,MID,Nott'm Forest,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Nott'm Forest
Bryan Mbeumo,MID,Brentford,2.3,0.03,1.35,1.38,0,1,1,0,14,90,7,65,1,70.0,MID,Brentford
Alexis Mac Allister,MID,Liverpool,2.7,0.22,0.0,0.22,0,0,0,0,13,90,1,60,1,65.0,MID,Liverpool
Omari Kellyman,MID,Aston Villa,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Chelsea
Youri Tielemans,MID,Aston Villa,1.7,0.09,0.0,0.09,0,0,0,0,3,45,1,60,1,55.0,MID,Aston Villa
Illia Zabarnyi,DEF,Bournemouth,2.0,0.01,0.0,0.01,0,0,0,0,11,90,2,45,1,45.0,DEF,Bournemouth
Karl Hein,GK,Arsenal,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,40.0,GK,Arsenal
Dean Henderson,GK,Man Utd,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,GK,Crystal Palace
Marcos Senesi,DEF,Bournemouth,2.0,0.02,0.0,0.02,0,0,0,0,9,59,1,45,1,50.0,DEF,Bournemouth
Dan Burn,DEF,Newcastle,2.5,0.01,0.16,0.17,0,0,0,0,9,90,2,45,1,45.0,DEF,Newcastle
Joachim Andersen,DEF,Crystal Palace,2.5,0.11,0.15,0.26,0,0,0,3,31,90,9,45,1,45.0,DEF,Crystal Palace
Pedro Lomba Neto,MID,Wolves,1.6,0.35,0.79,1.14,0,0,0,0,19,90,1,55,1,65.0,MID,Chelsea
Dane Scarlett,FWD,Spurs,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,FWD,Spurs
Lucas Digne,DEF,Aston Villa,1.5,0.15,0.0,0.15,0,0,0,0,13,90,-1,45,1,45.0,DEF,Aston Villa
Enzo Fernández,MID,Chelsea,1.1,0.11,0.06,0.17,0,0,0,0,18,90,1,50,1,50.0,MID,Chelsea
Matt Targett,DEF,Newcastle,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,40.0,DEF,Newcastle
Stefan Ortega Moreno,GK,Man City,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,55.0,GK,Man City
Sam Johnstone,GK,Crystal Palace,2.9,0.0,0.0,0.0,0,0,0,0,22,90,6,45,1,45.0,GK,Crystal Palace
Emiliano Buendía Stati,MID,Aston Villa,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,60,1,55.0,MID,Aston Villa
Nathan Collins,DEF,Brentford,2.0,0.01,0.0,0.01,0,0,0,0,16,90,1,45,1,45.0,DEF,Brentford
Leandro Trossard,MID,Arsenal,3.0,0.01,0.0,0.01,0,0,0,0,8,17,1,70,1,70.0,MID,Arsenal
Antony Matheus dos Santos,MID,Man Utd,3.0,0.05,0.22,0.27,0,0,0,0,8,76,3,70,1,60.0,MID,Man Utd
Trevoh Chalobah,DEF,Chelsea,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Chelsea
Luke Cundle,MID,Wolves,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Wolves
Tino Livramento,DEF,Newcastle,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Newcastle
Kieran Trippier,DEF,Newcastle,3.6,0.26,0.0,0.26,0,0,0,0,22,90,2,65,1,60.0,DEF,Newcastle
Richarlison de Andrade,MID,Spurs,2.5,0.01,0.21,0.22,0,0,0,0,3,90,2,70,1,70.0,FWD,Spurs
Jason Steele,GK,Brighton,2.9,0.0,0.0,0.0,0,0,0,0,18,90,2,45,1,45.0,GK,Brighton
Nick Pope,GK,Newcastle,4.5,0.0,0.0,0.0,0,0,0,0,18,90,3,55,1,50.0,GK,Newcastle
Kai Havertz,MID,Arsenal,3.1,0.24,0.05,0.29,0,0,0,0,11,90,2,75,1,80.0,FWD,Arsenal
Vladimír Coufal,DEF,West Ham,2.0,0.16,0.0,0.16,0,0,0,0,12,90,2,45,1,45.0,DEF,West Ham
Marcus Rashford,MID,Man Utd,3.5,0.02,0.3,0.32,0,0,0,0,5,87,3,90,1,70.0,MID,Man Utd
Lewis O'Brien,MID,Nott'm Forest,1.1,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,MID,Nott'm Forest
Evan Ferguson,FWD,Brighton,2.6,0.03,0.89,0.92,0,1,1,0,25,12,5,60,1,55.0,FWD,Brighton
Yves Bissouma,MID,Spurs,1.6,0.11,0.04,0.15,0,0,0,0,20,90,2,50,1,50.0,MID,Spurs
João Victor Gomes da Silva,MID,Wolves,1.1,0.03,0.01,0.04,0,0,0,0,20,87,2,50,1,50.0,MID,Wolves
Abdoulaye Doucouré,MID,Everton,2.1,0.1,0.56,0.66,0,0,0,0,7,90,2,55,1,55.0,MID,Everton
Ederson Santana de Moraes,GK,Man City,5.5,0.01,0.0,0.01,0,0,0,0,27,90,6,55,1,55.0,GK,Man City
Virgil van Dijk,DEF,Liverpool,3.4,0.02,0.03,0.05,0,0,0,0,13,90,2,60,1,60.0,DEF,Liverpool
Willy Boly,DEF,Nott'm Forest,1.5,0.03,0.21,0.24,0,0,0,0,14,90,1,45,1,45.0,DEF,Nott'm Forest
Scott McTominay,MID,Man Utd,2.1,0.0,0.0,0.0,0,0,0,0,4,2,1,50,1,50.0,MID,Man Utd
Rico Lewis,DEF,Man City,3.5,0.01,0.0,0.01,0,0,0,0,25,78,6,45,1,45.0,DEF,Man City
Alejandro Garnacho,MID,Man Utd,2.1,0.04,0.12,0.16,0,0,0,0,4,67,3,50,1,65.0,MID,Man Utd
Lewis Dobbin,MID,Everton,1.0,0.0,0.0,0.0,0,0,0,0,3,7,1,45,1,50.0,MID,Aston Villa
Anthony Gordon,MID,Newcastle,2.6,0.36,0.07,0.43,1,0,1,0,18,67,4,55,1,75.0,MID,Newcastle
Emmanuel Dennis,FWD,Nott'm Forest,0.9,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,FWD,Nott'm Forest
Nathaniel Clyne,DEF,Crystal Palace,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Crystal Palace
Edson Álvarez Velázquez,MID,West Ham,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,MID,West Ham
Jakub Kiwior,DEF,Arsenal,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,DEF,Arsenal
Lloyd Kelly,DEF,Bournemouth,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Newcastle
Vitalii Mykolenko,DEF,Everton,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Everton
Emerson Leite de Souza Junior,DEF,Spurs,2.0,0.14,0.05,0.19,0,1,1,1,27,90,8,45,1,45.0,DEF,Spurs
Joël Veltman,DEF,Brighton,2.5,0.0,0.0,0.0,0,0,0,0,2,11,1,45,1,45.0,DEF,Brighton
Miguel Almirón Rejala,MID,Newcastle,2.8,0.07,0.07,0.14,0,0,0,0,20,85,2,65,1,60.0,MID,Newcastle
Alejo Véliz,FWD,Spurs,1.9,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,50.0,FWD,Spurs
Kepa Arrizabalaga,GK,Chelsea,2.7,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,45.0,GK,Chelsea
Mark Travers,GK,Bournemouth,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,45.0,GK,Bournemouth
Guglielmo Vicario,GK,Spurs,3.2,0.0,0.0,0.0,0,0,0,0,15,90,1,50,1,50.0,GK,Spurs
Isaac Hayden,MID,Newcastle,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,MID,Newcastle
Jamaal Lascelles,DEF,Newcastle,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,40,1,45.0,DEF,Newcastle
Andrew Robertson,DEF,Liverpool,3.6,0.01,0.0,0.01,0,0,0,0,16,90,2,65,1,60.0,DEF,Liverpool
Giovani Lo Celso,MID,Spurs,1.6,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,MID,Spurs
Jeffrey Schlupp,MID,Crystal Palace,2.1,0.08,0.06,0.14,0,0,0,0,9,90,3,50,1,50.0,MID,Crystal Palace
Alex Iwobi,MID,Everton,2.1,0.28,0.32,0.6,0,0,0,0,9,90,2,55,1,55.0,MID,Fulham
Cody Gakpo,FWD,Liverpool,2.9,0.05,0.0,0.05,0,0,0,0,5,65,2,75,1,75.0,FWD,Liverpool
Nicolas Jackson,FWD,Chelsea,1.8,0.01,0.53,0.54,0,0,0,0,-6,90,1,70,1,75.0,FWD,Chelsea
Adam Lallana,MID,Brighton,1.6,0.0,0.0,0.0,0,0,0,0,0,0,0,50,1,50.0,MID,Southampton
Hugo Bueno López,DEF,Wolves,1.5,0.14,0.06,0.2,0,0,0,0,9,13,1,45,1,45.0,DEF,Wolves
Alphonse Areola,GK,West Ham,1.0,0.0,0.0,0.0,0,0,0,0,16,90,3,40,1,45.0,GK,West Ham
Alisson Ramses Becker,GK,Liverpool,4.5,0.0,0.0,0.0,0,0,0,0,16,90,3,55,1,55.0,GK,Liverpool
Pape Matar Sarr,MID,Spurs,1.0,0.01,0.12,0.13,0,0,0,0,4,15,1,45,1,50.0,MID,Spurs
Matt Doherty,DEF,Wolves,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Wolves
Gonçalo Manuel Ganchinho Guedes,MID,Wolves,1.6,0.0,0.0,0.0,0,0,0,0,0,0,0,55,1,55.0,MID,Wolves
Taiwo Awoniyi,FWD,Nott'm Forest,0.4,0.0,0.57,0.57,0,1,1,2,26,19,7,65,1,60.0,FWD,Nott'm Forest
Mads Roerslev Rasmussen,DEF,Brentford,2.0,0.0,0.03,0.03,0,0,0,0,5,18,1,45,1,45.0,DEF,Brentford
Calvin Bassey,DEF,Fulham,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,45.0,DEF,Fulham
Konstantinos Tsimikas,DEF,Liverpool,2.5,0.0,0.0,0.0,0,0,0,0,0,0,0,45,1,50.0,DEF,Liverpool
