player_id,points
1,130
2,0
3,0
4,0
5,177
6,108
7,93
8,149
9,0
10,13
11,31
13,0
14,0
15,0
16,133
17,62
18,55
19,48
20,100
21,167
22,66
23,0
24,6
25,8
26,119
28,0
29,0
30,13
31,18
266,95
662,29
666,106
700,12
711,0
725,74
759,0
32,105
33,14
34,0
35,0
36,107
37,87
38,95
39,41
40,44
41,58
42,4
43,0
44,34
45,0
46,0
47,143
48,55
49,13
50,84
51,0
53,55
54,84
55,37
56,0
57,0
58,61
59,74
60,0
61,0
62,1
63,0
64,111
65,0
389,5
456,32
688,0
699,31
701,0
702,1
703,0
710,0
719,24
754,2
757,0
768,0
781,0
792,3
808,16
183,0
184,0
185,0
186,0
187,63
188,0
189,0
190,45
191,71
192,55
193,42
194,0
195,20
196,0
197,13
198,27
199,20
200,107
201,0
202,37
203,0
204,0
205,70
206,47
207,52
208,0
209,50
210,39
211,0
212,0
213,1
214,5
215,73
216,0
217,55
218,5
219,0
470,90
614,29
676,86
680,40
722,67
776,0
784,0
820,0
66,0
67,105
68,0
69,0
70,0
71,0
72,143
73,39
74,134
75,0
76,0
77,89
78,0
79,0
80,3
81,40
84,117
85,62
86,50
87,46
88,38
89,0
90,121
91,0
92,0
93,4
94,0
95,0
96,1
97,104
98,23
99,0
100,87
391,9
685,46
687,0
697,63
713,68
721,19
756,0
782,0
799,0
801,5
806,0
807,39
27,8
83,111
101,122
102,0
103,0
104,0
105,1
106,114
107,96
108,70
109,52
110,102
111,14
112,0
113,99
114,0
115,0
116,33
117,0
118,0
120,110
121,93
122,1
123,13
124,75
125,70
126,77
127,0
128,12
129,87
130,4
131,0
132,0
133,1
134,0
136,168
137,0
748,0
797,0
810,0
819,0
823,0
824,0
826,0
138,0
139,112
140,0
141,0
142,0
143,32
144,10
145,62
146,82
147,0
148,93
149,6
150,0
151,128
152,37
153,0
154,0
155,0
156,0
157,58
158,72
159,1
160,100
161,0
162,35
163,63
164,15
165,0
166,95
167,42
169,95
170,34
171,0
172,5
173,90
174,0
175,1
